sep=;
Kategorie;BibKey;Eintragstyp;AutorIn;HerausgeberIn;Jahr;Titel;Buchtitel / Journal;Auflage;Band;Heft;Seiten;Verlag;Ort;Institution;Schriftenart;Reihe;DOI;URL;Zugriffsdatum;Anmerkung;Umfangshinweis
Frage 3: Person, Beziehung, Emotion;kuhl2019diversitaet;incollection;"Kuhl, Julius; Hofmann, Franz";"Reintjes, Christian; Kunze, Ingrid; Ossowski, Ekkehard";2019;Diversität und Persönlichkeit: Begabungsentfaltung im Kontext der pädagogischen Beziehung;Begabungsförderung und Professionalisierung: Befunde, Perspektiven, Herausforderungen;;;;35–57;Verlag Julius Klinkhardt;Bad Heilbrunn;;;;;;;;23 S.
Frage 3: Person, Beziehung, Emotion;behrensen2019inklusive;incollection;Behrensen, Birgit;"Reintjes, Christian; Kunze, Ingrid; Ossowski, Ekkehard";2019;Inklusive Begabungsförderung – eine Antwort auf Bildungsherausforderungen in Zeiten von Fluchtmigration;Begabungsförderung und Professionalisierung: Befunde, Perspektiven, Herausforderungen;;;;86–98;Verlag Julius Klinkhardt;Bad Heilbrunn;;;;;;;;13 S.
Frage 3: Person, Beziehung, Emotion;booth2019index;book;"Booth, Tony; Ainscow, Mel";"Achermann, Bruno; Amirpur, Donja; Braunsteiner, Maria-Luise; Demo, Heidrun; Plate, Elisabeth; Platte, Andrea";2019;Index für Inklusion: Ein Leitfaden für Schulentwicklung;;2;;;;Beltz;Weinheim;;;;;;;;Dimensionen A–C: ca. 90 S. (verteilt auf Fr. 3 und 4)
Frage 3: Person, Beziehung, Emotion;stamm2012migranten;book;Stamm, Margrit;;2012;Migranten mit Potenzial: Begabungsreserven in der Berufsbildung ausschöpfen;;;;;;SWISSEducation;Bern;;;Dossier 12/4;;;;;ca. 15 S.
Frage 3: Person, Beziehung, Emotion;kappus2010migration;incollection;Kappus, Elke-Nicole;"Buholzer, Alois; Kummer Wyss, Annemarie";2010;Umgang mit migrationsbedingter Heterogenität;Alle gleich – alle unterschiedlich: Zum Umgang mit Heterogenität in Schule und Unterricht;;;;63–77;Klett und Balmer;Zug;;;;;;;;15 S.
Frage 4: SOLUX / Enrichment / Inklusion;buholzer2010allegleich;book;;"Buholzer, Alois; Kummer Wyss, Annemarie";2010;Alle gleich – alle unterschiedlich! Zum Umgang mit Heterogenität in Schule und Unterricht;;;;;;Klett und Balmer;Zug;;;;;;;;Einleitung, Kap. Fischer, Kooperation, Diagnostik: ca. 60 S. (verteilt auf Fr. 4 und 5)
Frage 4: SOLUX / Enrichment / Inklusion;weigand2021separativ;incollection;"Weigand, Gabriele; Kaiser, Michaela";"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Separativ oder integrativ? Inklusive Begabungs- und Begabtenförderung;Handbuch Begabung;;;;290–301;Beltz;Weinheim;;;;;;;;ca. 15 S.
Frage 4: SOLUX / Enrichment / Inklusion;sedmak2021bildungsgerechtigkeit;incollection;"Sedmak, Clemens; Kapferer, Elisabeth";"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Begabtenförderung und Bildungsgerechtigkeit;Handbuch Begabung;;;;65–76;Beltz;Weinheim;;;;;;;;ca. 15 S.
Frage 4: SOLUX / Enrichment / Inklusion;muelleroppliger2021plurale;incollection;Müller-Oppliger, Victor;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Plurale Gesellschaft, Inklusion und Bildungsgerechtigkeit;Handbuch Begabung;;;;32–45;Beltz;Weinheim;;;;;;;;ca. 15 S.
Frage 4: SOLUX / Enrichment / Inklusion;unger2010begabungsfoerderung;thesis;Unger, Evelyn;;2010;Begabungs- und Begabtenförderung unter den Bedingungen der «Neuen Mittelschule»;;;;;;;Salzburg;Universität Salzburg / özbf;Masterarbeit;;;https://www.oezbf.at/wp-content/uploads/2018/03/unger_evelyn_endversion.pdf;;;ca. 20 S.
